2026-03-08 12:51:08,879 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:1075 | proto=tcp | dur=-s
2026-03-08 12:51:08,880 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:5815 | proto=tcp | dur=-s
2026-03-08 12:51:08,881 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:8649 | proto=tcp | dur=-s
2026-03-08 12:51:08,882 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:2030 | proto=tcp | dur=-s
2026-03-08 12:51:08,883 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:2222 | proto=tcp | dur=-s
2026-03-08 12:51:08,884 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:7001 | proto=tcp | dur=-s
2026-03-08 12:51:08,885 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:49176 | proto=tcp | dur=-s
2026-03-08 12:51:08,886 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:5904 | proto=tcp | dur=-s
2026-03-08 12:51:08,888 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:3828 | proto=tcp | dur=-s
2026-03-08 12:51:08,894 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:5500 | proto=tcp | dur=-s
2026-03-08 12:51:08,895 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:49158 | proto=tcp | dur=-s
2026-03-08 12:51:08,896 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:2144 | proto=tcp | dur=-s
2026-03-08 12:51:08,897 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:4111 | proto=tcp | dur=-s
2026-03-08 12:51:08,897 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:52822 | proto=tcp | dur=-s
2026-03-08 12:51:08,899 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:3914 | proto=tcp | dur=-s
2026-03-08 12:51:08,900 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:1035 | proto=tcp | dur=-s
2026-03-08 12:51:08,901 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:3370 | proto=tcp | dur=-s
2026-03-08 12:51:08,902 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:49167 | proto=tcp | dur=-s
2026-03-08 12:51:08,904 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:3814 | proto=tcp | dur=-s
2026-03-08 12:51:08,905 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:465 | proto=tcp | dur=-s
2026-03-08 12:51:08,906 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:8443 | proto=tcp | dur=-s
2026-03-08 12:51:08,906 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:1077 | proto=tcp | dur=-s
2026-03-08 12:51:08,907 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:3390 | proto=tcp | dur=-s
2026-03-08 12:51:08,908 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:912 | proto=tcp | dur=-s
2026-03-08 12:51:08,909 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:13782 | proto=tcp | dur=-s
2026-03-08 12:51:08,910 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:3869 | proto=tcp | dur=-s
2026-03-08 12:51:08,911 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:6692 | proto=tcp | dur=-s
2026-03-08 12:51:08,912 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:311 | proto=tcp | dur=-s
2026-03-08 12:51:08,913 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:2200 | proto=tcp | dur=-s
2026-03-08 12:51:08,914 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:6901 | proto=tcp | dur=-s
2026-03-08 12:51:08,915 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:2010 | proto=tcp | dur=-s
2026-03-08 12:51:08,916 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:1524 | proto=tcp | dur=-s
2026-03-08 12:51:08,917 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:981 | proto=tcp | dur=-s
2026-03-08 12:51:08,918 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:9502 | proto=tcp | dur=-s
2026-03-08 12:51:08,918 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:9666 | proto=tcp | dur=-s
2026-03-08 12:51:08,919 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:1070 | proto=tcp | dur=-s
2026-03-08 12:51:08,920 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:1001 | proto=tcp | dur=-s
2026-03-08 12:51:08,922 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:49152 | proto=tcp | dur=-s
2026-03-08 12:51:08,923 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:2492 | proto=tcp | dur=-s
2026-03-08 12:51:08,924 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:1088 | proto=tcp | dur=-s
2026-03-08 12:51:08,925 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:14441 | proto=tcp | dur=-s
2026-03-08 12:51:08,925 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:2006 | proto=tcp | dur=-s
2026-03-08 12:51:08,926 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:1030 | proto=tcp | dur=-s
2026-03-08 12:51:08,926 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:444 | proto=tcp | dur=-s
2026-03-08 12:51:08,927 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:2557 | proto=tcp | dur=-s
